id,business_name,doctor_name,specialty,experience_years,phone,email,address,area,city,pincode,website_url,practo_rating,justdial_rating,google_rating,total_reviews,qualifications,services,description,priority_tier,opportunity_score,digital_status,source
18,Dental Cure Clinic,,Dentistry,18,+91-11-47550378,,,Paschim Vihar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dental-cure-clinic/,0,0,0,138,,General Dentistry,Dental clinic in Paschim Vihar with 18 years of experience.,,0,Has Portfolio Website,site-urls.json
19,Dental Excellence,,Dentistry,29,+91-11-35985095,,,Dwarka,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dental-excellence/,0,0,4.4,56,,General Dentistry,Dental clinic in Dwarka with 29 years of experience.,,0,Has Portfolio Website,site-urls.json
20,Dental Experts Clinic,,Dentistry,15,+91-11-22135221,,,South Extension,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dental-experts-clinic/,0,0,0,156,,General Dentistry,Dental clinic in South Extension with 15 years of experience.,,0,Has Portfolio Website,site-urls.json
21,Dental Health Centre,,Dentistry,16,+91-11-35384824,,,Uttam Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dental-health-centre/,0,0,3.8,56,,General Dentistry,Dental clinic in Uttam Nagar with 16 years of experience.,,0,Has Portfolio Website,site-urls.json
22,Dental Health Clinic,,Dentistry,25,+91-11-23770253,,,Tilak Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dental-health-clinic/,0,0,3.8,96,,General Dentistry,Dental clinic in Tilak Nagar with 25 years of experience.,,0,Has Portfolio Website,site-urls.json
23,Dental Solutions,,Dentistry,10,+91-11-26510051,,,South Extension,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dental-solutions/,0,0,0,127,,General Dentistry,Dental clinic in South Extension with 10 years of experience.,,0,Has Portfolio Website,site-urls.json
24,Dental Speciality Centre,,Dentistry,24,+91-11-43227248,,,Malviya Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dental-speciality-centre/,0,0,4.6,149,,General Dentistry,Dental clinic in Malviya Nagar with 24 years of experience.,,0,Has Portfolio Website,site-urls.json
25,Dental Treatment Centre,,Dentistry,14,+91-11-42676498,,,Ashok Vihar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dental-treatment-centre/,0,0,0,185,,General Dentistry,Dental clinic in Ashok Vihar with 14 years of experience.,,0,Has Portfolio Website,site-urls.json
26,Dr. Agarwal's Dental Clinic,Dr. Agarwal,Dentistry,6,+91-11-31536149,,,Ashok Vihar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-agarwals-dental-clinic/,0,0,4.5,67,,General Dentistry,Dental clinic in Ashok Vihar with 6 years of experience.,,0,Has Portfolio Website,site-urls.json
27,Dr. Amit Gupta's Dental Clinic,Dr. Amit Gupta,Dentistry,26,+91-11-44871677,,,Rajouri Garden,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-amit-guptas-dental-clinic/,0,0,4.8,100,,General Dentistry,Dental clinic in Rajouri Garden with 26 years of experience.,,0,Has Portfolio Website,site-urls.json
28,Dr. Anjali Mehta's Dental Clinic,Dr. Anjali Mehta,Dentistry,29,+91-11-21654426,,,Shalimar Bagh,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-anjali-mehtas-dental-clinic/,0,0,4.6,149,,General Dentistry,Dental clinic in Shalimar Bagh with 29 years of experience.,,0,Has Portfolio Website,site-urls.json
29,Dr. Arora's Dental Centre,Dr. Arora,Dentistry,14,+91-11-24009286,,,Mayur Vihar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-aroras-dental-centre/,0,0,0,92,,General Dentistry,Dental clinic in Mayur Vihar with 14 years of experience.,,0,Has Portfolio Website,site-urls.json
30,Dr. Arun Khanna's Dental Clinic,Dr. Arun Khanna,Dentistry,6,+91-11-40135275,,,Lajpat Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-arun-khannas-dental-clinic/,0,0,4.8,96,,General Dentistry,Dental clinic in Lajpat Nagar with 6 years of experience.,,0,Has Portfolio Website,site-urls.json
31,Dr. Ashok Mittal's Dental Clinic,Dr. Ashok Mittal,Dentistry,25,+91-11-21357370,,,Kalkaji,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-ashok-mittals-dental-clinic/,0,0,3.6,41,,General Dentistry,Dental clinic in Kalkaji with 25 years of experience.,,0,Has Portfolio Website,site-urls.json
32,Dr. Bansal's Dental Care,Dr. Bansal,Dentistry,16,+91-11-29537166,,,Lajpat Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-bansals-dental-care/,0,0,0,120,,General Dentistry,Dental clinic in Lajpat Nagar with 16 years of experience.,,0,Has Portfolio Website,site-urls.json
33,Dr. Bhatia's Dental Practice,Dr. Bhatia,Dentistry,25,+91-11-48646016,,,Karol Bagh,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-bhatias-dental-practice/,0,0,0,78,,General Dentistry,Dental clinic in Karol Bagh with 25 years of experience.,,0,Has Portfolio Website,site-urls.json
34,Dr. Chopra's Dental Centre,Dr. Chopra,Dentistry,22,+91-11-23953024,,,Rohini,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-chopras-dental-centre/,0,0,4.5,90,,General Dentistry,Dental clinic in Rohini with 22 years of experience.,,0,Has Portfolio Website,site-urls.json
35,Dr. Das Dental Practice,Dr. Das,Dentistry,24,+91-11-46528737,,,Najafgarh,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-das-dental-practice/,0,0,0,99,,General Dentistry,Dental clinic in Najafgarh with 24 years of experience.,,0,Has Portfolio Website,site-urls.json
36,Dr. Deepa Malhotra's Dental Clinic,Dr. Deepa Malhotra,Dentistry,21,+91-11-46836259,,,Najafgarh,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-deepa-malhotras-dental-clinic/,0,0,4.6,62,,General Dentistry,Dental clinic in Najafgarh with 21 years of experience.,,0,Has Portfolio Website,site-urls.json
37,Dr. Goyal's Dental Practice,Dr. Goyal,Dentistry,9,+91-11-41750446,,,Kalkaji,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-goyals-dental-practice/,0,0,4.2,78,,General Dentistry,Dental clinic in Kalkaji with 9 years of experience.,,0,Has Portfolio Website,site-urls.json
38,Dr. Gupta's Dental Care,Dr. Gupta,Dentistry,5,+91-11-46610813,,,Pitampura,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-guptas-dental-care/,0,0,3.9,164,,General Dentistry,Dental clinic in Pitampura with 5 years of experience.,,0,Has Portfolio Website,site-urls.json
39,Dr. Jain's Dental Centre,Dr. Jain,Dentistry,8,+91-11-30756416,,,Paschim Vihar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-jains-dental-centre/,0,0,3.8,153,,General Dentistry,Dental clinic in Paschim Vihar with 8 years of experience.,,0,Has Portfolio Website,site-urls.json
40,Dr. Kapoor's Dental Clinic,Dr. Kapoor,Dentistry,25,+91-11-24672901,,,Vasant Kunj,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-kapoors-dental-clinic/,0,0,4.7,153,,General Dentistry,Dental clinic in Vasant Kunj with 25 years of experience.,,0,Has Portfolio Website,site-urls.json
41,Dr. Kavita Jain's Dental Clinic,Dr. Kavita Jain,Dentistry,13,+91-11-22318852,,,Saket,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-kavita-jains-dental-clinic/,0,0,4.7,110,,General Dentistry,Dental clinic in Saket with 13 years of experience.,,0,Has Portfolio Website,site-urls.json
42,Dr. Khanna's Dental Studio,Dr. Khanna,Dentistry,23,+91-11-31494151,,,Uttam Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-khannas-dental-studio/,0,0,4.5,25,,General Dentistry,Dental clinic in Uttam Nagar with 23 years of experience.,,0,Has Portfolio Website,site-urls.json
43,Dr. Kumar's Dental Centre,Dr. Kumar,Dentistry,5,+91-11-31486105,,,Janakpuri,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-kumars-dental-centre/,0,0,4.2,170,,General Dentistry,Dental clinic in Janakpuri with 5 years of experience.,,0,Has Portfolio Website,site-urls.json
44,Dr. Malhotra's Dental,Dr. Malhotra,Dentistry,11,+91-11-20022618,,,Rajendra Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-malhotras-dental/,0,0,3.8,104,,General Dentistry,Dental clinic in Rajendra Nagar with 11 years of experience.,,0,Has Portfolio Website,site-urls.json
45,Dr. Manish Kapoor's Dental Clinic,Dr. Manish Kapoor,Dentistry,19,+91-11-28423032,,,Patel Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-manish-kapoors-dental-clinic/,0,0,4.4,25,,General Dentistry,Dental clinic in Patel Nagar with 19 years of experience.,,0,Has Portfolio Website,site-urls.json
46,Dr. Meera Goyal's Dental Clinic,Dr. Meera Goyal,Dentistry,24,+91-11-35326282,,,Nehru Place,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-meera-goyals-dental-clinic/,0,0,3.7,115,,General Dentistry,Dental clinic in Nehru Place with 24 years of experience.,,0,Has Portfolio Website,site-urls.json
47,Dr. Mehta's Dental Clinic,Dr. Mehta,Dentistry,14,+91-11-49950455,,,Malviya Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-mehtas-dental-clinic/,0,0,3.8,46,,General Dentistry,Dental clinic in Malviya Nagar with 14 years of experience.,,0,Has Portfolio Website,site-urls.json
48,Dr. Mittal's Dental Studio,Dr. Mittal,Dentistry,14,+91-11-27595323,,,Hauz Khas,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-mittals-dental-studio/,0,0,0,69,,General Dentistry,Dental clinic in Hauz Khas with 14 years of experience.,,0,Has Portfolio Website,site-urls.json
49,Dr. Nair's Dental Centre,Dr. Nair,Dentistry,7,+91-11-27423541,,,Patel Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-nairs-dental-centre/,0,0,3.7,88,,General Dentistry,Dental clinic in Patel Nagar with 7 years of experience.,,0,Has Portfolio Website,site-urls.json
50,Dr. Neha Singh's Dental Clinic,Dr. Neha Singh,Dentistry,27,+91-11-48402630,,,Model Town,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-neha-singhs-dental-clinic/,0,0,4.3,109,,General Dentistry,Dental clinic in Model Town with 27 years of experience.,,0,Has Portfolio Website,site-urls.json
51,Dr. Pooja Reddy's Dental Clinic,Dr. Pooja Reddy,Dentistry,18,+91-11-39569199,,,Green Park,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-pooja-reddys-dental-clinic/,0,0,0,44,,General Dentistry,Dental clinic in Green Park with 18 years of experience.,,0,Has Portfolio Website,site-urls.json
52,Dr. Priya Sharma's Dental Clinic,Dr. Priya Sharma,Dentistry,4,+91-11-35642357,,,Karol Bagh,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-priya-sharmas-dental-clinic/,0,0,4,93,,General Dentistry,Dental clinic in Karol Bagh with 4 years of experience.,,0,Has Portfolio Website,site-urls.json
53,Dr. Rahul Agarwal's Dental Clinic,Dr. Rahul Agarwal,Dentistry,23,+91-11-26264534,,,Tilak Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-rahul-agarwals-dental-clinic/,0,0,4.3,73,,General Dentistry,Dental clinic in Tilak Nagar with 23 years of experience.,,0,Has Portfolio Website,site-urls.json
54,Dr. Rajesh Kumar's Dental Clinic,Dr. Rajesh Kumar,Dentistry,29,+91-11-43834726,,,Connaught Place,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-rajesh-kumars-dental-clinic/,0,0,0,88,,General Dentistry,Dental clinic in Connaught Place with 29 years of experience.,,0,Has Portfolio Website,site-urls.json
55,Dr. Rao's Dental Studio,Dr. Rao,Dentistry,21,+91-11-32242947,,,Shalimar Bagh,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-raos-dental-studio/,0,0,3.9,84,,General Dentistry,Dental clinic in Shalimar Bagh with 21 years of experience.,,0,Has Portfolio Website,site-urls.json
56,Dr. Rashmi Sethi's Dental Clinic,Dr. Rashmi Sethi,Dentistry,10,+91-11-30152436,,,Mayur Vihar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-rashmi-sethis-dental-clinic/,0,0,3.5,96,,General Dentistry,Dental clinic in Mayur Vihar with 10 years of experience.,,0,Has Portfolio Website,site-urls.json
57,Dr. Reddy's Dental Practice,Dr. Reddy,Dentistry,23,+91-11-29065084,,,Laxmi Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-reddys-dental-practice/,0,0,3.8,73,,General Dentistry,Dental clinic in Laxmi Nagar with 23 years of experience.,,0,Has Portfolio Website,site-urls.json
58,Dr. Rita Chopra's Dental Clinic,Dr. Rita Chopra,Dentistry,28,+91-11-49751311,,,Rajendra Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-rita-chopras-dental-clinic/,0,0,4.2,139,,General Dentistry,Dental clinic in Rajendra Nagar with 28 years of experience.,,0,Has Portfolio Website,site-urls.json
59,Dr. Sanjeev Bhatia's Dental Clinic,Dr. Sanjeev Bhatia,Dentistry,29,+91-11-41922043,,,Green Park,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-sanjeev-bhatias-dental-clinic/,0,0,4.1,40,,General Dentistry,Dental clinic in Green Park with 29 years of experience.,,0,Has Portfolio Website,site-urls.json
60,Dr. Saxena's Dental Care,Dr. Saxena,Dentistry,24,+91-11-43663803,,,Tilak Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-saxenas-dental-care/,0,0,4.7,81,,General Dentistry,Dental clinic in Tilak Nagar with 24 years of experience.,,0,Has Portfolio Website,site-urls.json
61,Dr. Sethi's Dental Clinic,Dr. Sethi,Dentistry,27,+91-11-24189358,,,Shahdara,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-sethis-dental-clinic/,0,0,4.2,147,,General Dentistry,Dental clinic in Shahdara with 27 years of experience.,,0,Has Portfolio Website,site-urls.json
62,Dr. Sharma's Dental Clinic,Dr. Sharma,Dentistry,6,+91-11-45565955,,,Connaught Place,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-sharmas-dental-clinic/,0,0,3.7,132,,General Dentistry,Dental clinic in Connaught Place with 6 years of experience.,,0,Has Portfolio Website,site-urls.json
63,Dr. Singh's Dental Studio,Dr. Singh,Dentistry,29,+91-11-38094690,,,Green Park,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-singhs-dental-studio/,0,0,0,93,,General Dentistry,Dental clinic in Green Park with 29 years of experience.,,0,Has Portfolio Website,site-urls.json
64,Dr. Sunita Bansal's Dental Clinic,Dr. Sunita Bansal,Dentistry,8,+91-11-23156241,,,Malviya Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-sunita-bansals-dental-clinic/,0,0,3.8,102,,General Dentistry,Dental clinic in Malviya Nagar with 8 years of experience.,,0,Has Portfolio Website,site-urls.json
65,Dr. Suresh Patel's Dental Clinic,Dr. Suresh Patel,Dentistry,14,+91-11-45128494,,,South Extension,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-suresh-patels-dental-clinic/,0,0,0,41,,General Dentistry,Dental clinic in South Extension with 14 years of experience.,,0,Has Portfolio Website,site-urls.json
66,Dr. Verma's Dental Practice,Dr. Verma,Dentistry,14,+91-11-22911174,,,Defence Colony,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-vermas-dental-practice/,0,0,3.6,9,,General Dentistry,Dental clinic in Defence Colony with 14 years of experience.,,0,Has Portfolio Website,site-urls.json
67,Dr. Vikram Verma's Dental Clinic,Dr. Vikram Verma,Dentistry,21,+91-11-40481061,,,Defence Colony,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/dr-vikram-vermas-dental-clinic/,0,0,4.4,176,,General Dentistry,Dental clinic in Defence Colony with 21 years of experience.,,0,Has Portfolio Website,site-urls.json
68,Elite Dental Care,,Dentistry,24,+91-11-25835174,,,Model Town,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/elite-dental-care/,0,0,0,83,,General Dentistry,Dental clinic in Model Town with 24 years of experience.,,0,Has Portfolio Website,site-urls.json
69,Excel Dental Centre,,Dentistry,23,+91-11-27288772,,,Kalkaji,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/excel-dental-centre/,0,0,4.8,29,,General Dentistry,Dental clinic in Kalkaji with 23 years of experience.,,0,Has Portfolio Website,site-urls.json
70,Expert Dental Clinic,,Dentistry,18,+91-11-24715016,,,Kirti Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/expert-dental-clinic/,0,0,4.6,16,,General Dentistry,Dental clinic in Kirti Nagar with 18 years of experience.,,0,Has Portfolio Website,site-urls.json
71,Family Dental Care,,Dentistry,12,+91-11-30508544,,,Greater Kailash,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/family-dental-care/,0,0,4.3,33,,General Dentistry,Dental clinic in Greater Kailash with 12 years of experience.,,0,Has Portfolio Website,site-urls.json
72,Family Oral Care,,Dentistry,7,+91-11-40635677,,,Laxmi Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/family-oral-care/,0,0,3.9,169,,General Dentistry,Dental clinic in Laxmi Nagar with 7 years of experience.,,0,Has Portfolio Website,site-urls.json
73,Gentle Dental Care,,Dentistry,18,+91-11-49221132,,,Saket,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/gentle-dental-care/,0,0,0,146,,General Dentistry,Dental clinic in Saket with 18 years of experience.,,0,Has Portfolio Website,site-urls.json
74,Happy Smiles Dental,,Dentistry,4,+91-11-33258191,,,Rohini,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/happy-smiles-dental/,0,0,3.7,25,,General Dentistry,Dental clinic in Rohini with 4 years of experience.,,0,Has Portfolio Website,site-urls.json
75,Modern Dental Studio,,Dentistry,18,+91-11-32783524,,,Preet Vihar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/modern-dental-studio/,0,0,3.5,24,,General Dentistry,Dental clinic in Preet Vihar with 18 years of experience.,,0,Has Portfolio Website,site-urls.json
76,Oral Care Clinic,,Dentistry,15,+91-11-38715664,,,Kirti Nagar,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/oral-care-clinic/,0,0,3.9,100,,General Dentistry,Dental clinic in Kirti Nagar with 15 years of experience.,,0,Has Portfolio Website,site-urls.json
77,Oral Health Clinic,,Dentistry,29,+91-11-28373002,,,Okhla,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/oral-health-clinic/,0,0,3.9,91,,General Dentistry,Dental clinic in Okhla with 29 years of experience.,,0,Has Portfolio Website,site-urls.json
78,Pearl Dental Care,,Dentistry,22,+91-11-44261008,,,Saket,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/pearl-dental-care/,0,0,4,148,,General Dentistry,Dental clinic in Saket with 22 years of experience.,,0,Has Portfolio Website,site-urls.json
79,Perfect Teeth Clinic,,Dentistry,19,+91-11-39244883,,,Rajouri Garden,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/perfect-teeth-clinic/,0,0,4.1,50,,General Dentistry,Dental clinic in Rajouri Garden with 19 years of experience.,,0,Has Portfolio Website,site-urls.json
80,Precision Dental Care,,Dentistry,22,+91-11-40308358,,,Pitampura,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/precision-dental-care/,0,0,3.6,65,,General Dentistry,Dental clinic in Pitampura with 22 years of experience.,,0,Has Portfolio Website,site-urls.json
81,Premier Dental Clinic,,Dentistry,13,+91-11-31342111,,,Nehru Place,Delhi,,https://portfolio-pearl-nine-41.vercel.app/site/premier-dental-clinic/,0,0,0,52,,General Dentistry,Dental clinic in Nehru Place with 13 years of experience.,,0,Has Portfolio Website,site-urls.json
